,model,seed,epoch,0,1
0,feedback,9999,0,3.5133185177593362,11.691550691137582
1,feedback,9999,1,2.9404340285052863,9.443821966134637
2,feedback,9999,2,2.7851600022755023,9.072128626776752
3,feedback,9999,3,2.6417015779748296,8.795334600351746
4,feedback,9999,4,2.48897717807654,8.523954308075014
5,feedback,9999,5,2.3220801810737477,8.22870034998054
6,feedback,9999,6,2.146213717067785,7.904561995701486
7,feedback,9999,7,1.9692934854458537,7.560009422613105
8,feedback,9999,8,1.7967193992616555,7.205468228325006
9,feedback,9999,9,1.631699795898797,6.850973669683168
10,feedback,9999,10,1.4755920411455392,6.5042046674947285
11,feedback,9999,11,1.3283337261640253,6.168918175173835
12,feedback,9999,12,1.189060259048446,5.845511563387469
13,feedback,9999,13,1.0570464836482774,5.533837968451255
14,feedback,9999,14,0.9305150305244302,5.231928028758684
15,feedback,9999,15,0.8066743257935759,4.9354954631796435
16,feedback,9999,16,0.6831175468736806,4.64004773476273
17,feedback,9999,17,0.5590163982395828,4.343782811167828
18,feedback,9999,18,0.43382017692357316,4.0460452739347295
19,feedback,9999,19,0.3061248435376051,3.744628318297212
20,feedback,9999,20,0.1749005275756354,3.4385234037750956
21,feedback,9999,21,0.04079609993289806,3.1288809753396714
22,feedback,9999,22,-0.09274324227178958,2.8196544560835792
23,feedback,9999,23,-0.2229908946900694,2.515061070627757
24,feedback,9999,24,-0.3491301349548895,2.2160918063457733
25,feedback,9999,25,-0.46950112693550966,1.9238871733489773
26,feedback,9999,26,-0.5825263825931979,1.6398265263161815
27,feedback,9999,27,-0.6870261838272271,1.3652675120451518
28,feedback,9999,28,-0.7827066821684326,1.1012656280054276
29,feedback,9999,29,-0.8702752755383101,0.8482105910086586
30,feedback,9999,30,-0.9508931531978986,0.6059191629420825
31,feedback,9999,31,-1.0259005078206884,0.3735896617877623
32,feedback,9999,32,-1.0964187210990868,0.1500108102229165
33,feedback,9999,33,-1.1630291575758043,-0.06562091027926063
34,feedback,9999,34,-1.2258908100370771,-0.27341726165181757
35,feedback,9999,35,-1.2850932810967974,-0.47333533034266007
36,feedback,9999,36,-1.3409239831214845,-0.6657235899869676
37,feedback,9999,37,-1.393959374063325,-0.851474837623426
38,feedback,9999,38,-1.4450754775270875,-1.032069050185644
39,feedback,9999,39,-1.495380210492696,-1.209716599477598
40,feedback,9999,40,-1.5461059253454081,-1.3873640917385395
0,hebb,42,0,3.513318517759363,11.691550691138369
1,hebb,42,1,-15.913046447226291,-20.300341357915254
2,hebb,42,2,-18.318409700031864,-23.478703361764207
3,hebb,42,3,-19.88719040218412,-25.023088984485355
4,hebb,42,4,-21.2150850502294,-25.947551610016596
5,hebb,42,5,-22.381743187736337,-26.569404640484272
6,hebb,42,6,-23.44186916478668,-27.024752388667924
7,hebb,42,7,-24.419276559580137,-27.373957889375667
8,hebb,42,8,-25.33787402450571,-27.655878953210376
9,hebb,42,9,-26.209978475724913,-27.88255186716507
10,hebb,42,10,-27.017225381205666,-28.087413298515663
11,hebb,42,11,-27.778821688146714,-28.258157489725875
12,hebb,42,12,-28.50405011530871,-28.41059232465239
13,hebb,42,13,-29.206356130792432,-28.541043532517254
14,hebb,42,14,-29.846147139994596,-28.680512193224097
15,hebb,42,15,-30.45428530875277,-28.812200517627442
16,hebb,42,16,-31.0531093091425,-28.91485127596059
17,hebb,42,17,-31.61490924299233,-29.023084908165234
18,hebb,42,18,-32.1797599903911,-29.108225124013213
19,hebb,42,19,-32.684635528316036,-29.211469980657284
20,hebb,42,20,-33.142809541225354,-29.33830601281526
21,hebb,42,21,-33.60050015524496,-29.436774758832943
22,hebb,42,22,-34.060042529899334,-29.505332153061598
23,hebb,42,23,-34.46397182935264,-29.613805270873176
24,hebb,42,24,-34.85977117736117,-29.707265961279663
25,hebb,42,25,-35.24946193879373,-29.78400489095841
26,hebb,42,26,-35.608938487501824,-29.87446790944307
27,hebb,42,27,-35.95127234926294,-29.964512917972186
28,hebb,42,28,-36.26387749462062,-30.070222591061125
29,hebb,42,29,-36.560593975354834,-30.17578183183694
30,hebb,42,30,-36.85597046096452,-30.263878741913082
31,hebb,42,31,-37.15161735550572,-30.333177492304472
32,hebb,42,32,-37.40571020362323,-30.43706410319608
33,hebb,42,33,-37.67611731226377,-30.503834473717426
34,hebb,42,34,-37.905120262646264,-30.606616978531758
35,hebb,42,35,-38.168722323048925,-30.650677373473407
36,hebb,42,36,-38.374959119286,-30.75251108664214
37,hebb,42,37,-38.57012038631139,-30.854466397914326
38,hebb,42,38,-38.80458431377766,-30.893473778682562
39,hebb,42,39,-38.965164694198066,-31.014034588573633
40,hebb,42,40,-39.15101599846217,-31.090459502767132
0,perturb,9999,0,3.513318517759292,11.691550691139822
1,perturb,9999,1,4.062584242004063,13.8493383344471
2,perturb,9999,2,4.494266549054964,15.451319125508563
3,perturb,9999,3,4.938524023332802,16.729209697941766
4,perturb,9999,4,5.398847192197446,17.725543468017644
5,perturb,9999,5,5.720234484950431,18.43570044830721
6,perturb,9999,6,6.037289335120025,18.979466390575897
7,perturb,9999,7,6.2337031368342295,19.31874283299449
8,perturb,9999,8,6.4049300439727705,19.598594774586932
9,perturb,9999,9,6.556397043273234,19.85712079901431
10,perturb,9999,10,6.7093322802982485,20.025591806497488
11,perturb,9999,11,6.777465264244084,20.181551222095404
12,perturb,9999,12,6.755145941319264,20.36489368872415
13,perturb,9999,13,6.749410591156014,20.517417702053187
14,perturb,9999,14,6.908760839694575,20.53174638740276
15,perturb,9999,15,7.058258351953408,20.508529429906723
16,perturb,9999,16,7.139311626394384,20.574543096272148
17,perturb,9999,17,7.135385056265796,20.655046891046748
18,perturb,9999,18,7.069800659481606,20.785631659262272
19,perturb,9999,19,7.1422138707338245,20.82922075176124
20,perturb,9999,20,7.117966069548846,20.916038481553702
21,perturb,9999,21,7.200688551729111,20.945904364929692
22,perturb,9999,22,7.007670828131623,21.102230654992418
23,perturb,9999,23,7.041046822096982,21.145039786821137
24,perturb,9999,24,7.143907932736081,21.141239841057384
25,perturb,9999,25,7.215063472469884,21.154379925218162
26,perturb,9999,26,7.203467912737229,21.21660492725805
